trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
181,False,"{'a': 0.25, 'e': 0.16216989001100654}",20,1,31.71882662357929,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.25, 'e': 0.16054819111089647}",30,23,13.429894619933279,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.25, 'e': 0.1589427091997875}",25,14,7.174577813286319,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.25, 'e': 0.15735328210778962}",20,0,-48.00358631447549,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
185,False,"{'a': 0.25, 'e': 0.15577974928671173}",25,0,-24.74429352771985,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
186,False,"{'a': 0.25, 'e': 0.15422195179384462}",25,8,17.87912376221335,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.25, 'e': 0.15267973227590617}",20,5,13.182061687911494,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.25, 'e': 0.1511529349531471}",30,18,7.684252678602693,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.25, 'e': 0.14964140560361563}",20,0,21.556892033126875,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.25, 'e': 0.14814499154757946}",20,14,11.348783043290316,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.25, 'e': 0.14666354163210368}",30,15,27.9357820339576,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.25, 'e': 0.14519690621578263}",25,0,35.2212914391151,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.25, 'e': 0.1437449371536248}",25,15,19.175484451661205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.25, 'e': 0.14230748778208857}",20,4,8.722732293039796,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.25, 'e': 0.14088441290426768}",25,19,11.310904833815924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.25, 'e': 0.139475568775225}",20,10,15.859625785453101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.25, 'e': 0.13808081308747275}",20,15,11.277966483814243,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.25, 'e': 0.136700004956598}",30,18,19.39302681162048,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.25, 'e': 0.13533300490703204}",20,16,9.1048361055729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.25, 'e': 0.13397967485796172}",20,0,21.839358139344718,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.25, 'e': 0.1326398781093821}",20,12,3.4268921792841285,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.25, 'e': 0.13131347932828827}",20,4,-27.675657154739604,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
203,False,"{'a': 0.25, 'e': 0.1300003445350054}",25,3,-6.1279678034124325,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
204,False,"{'a': 0.25, 'e': 0.12870034108965533}",25,12,-0.5332866241845693,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.25, 'e': 0.1274133376787588}",25,13,20.943006126117567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.25, 'e': 0.12613920430197118}",20,0,9.983639923648358,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
207,False,"{'a': 0.25, 'e': 0.12487781225895148}",20,0,-8.484910216222696,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
208,False,"{'a': 0.25, 'e': 0.12362903413636196}",20,11,0.9586714604740083,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.25, 'e': 0.12239274379499834}",30,21,12.671107257995274,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.25, 'e': 0.12116881635704835}",20,6,30.137305995866814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.25, 'e': 0.11995712819347787}",25,19,12.181488697892444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.25, 'e': 0.11875755691154309}",20,16,6.214816599244083,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.25, 'e': 0.11756998134242766}",20,0,0.10800925846504483,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
214,False,"{'a': 0.25, 'e': 0.11639428152900338}",20,9,20.36464253963327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.25, 'e': 0.11523033871371334}",20,5,27.639840685324682,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.25, 'e': 0.11407803532657622}",20,0,30.796052242470942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
217,False,"{'a': 0.25, 'e': 0.11293725497331045}",25,8,-13.081671395249518,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
218,False,"{'a': 0.25, 'e': 0.11180788242357734}",20,9,12.446903248636607,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.25, 'e': 0.11068980359934157}",20,9,22.834464805175656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
